id;jabatan;unsur;sub_unsur;kegiatan;bobot
1;Kepala Perwakilan;Kepala Perwakilan;Kepala Perwakilan;Perumusan dan pengevaluasian rencana aksi BPK Perwakila;4.000
2;Kepala Perwakilan;Kepala Perwakilan;Kepala Perwakilan;Pengelolaan BPK perwakilan yang dilimpahkan dari AKN VI;4.000
3;Kepala Perwakilan;Kepala Perwakilan;Kepala Perwakilan;Perumusan kebijakan pelaksanaan pemeriksaan pengelolaan dan tanggung jawab keuangan daerah;4.000
4;Kepala Perwakilan;Kepala Perwakilan;Kepala Perwakilan;Penetapan tim pemeriksa untuk melaksanakan kegiatan pemeriksaan;4.000
5;Kepala Subauditorat;Kepala Subauditorat;Kepala Subauditorat;Penyusunan program, pelaksanaan dan pengendalian kegiatan pemeriksaan pengelolaan dan tanggung jawab keuangan daerah;2.000
6;Kepala Subauditorat;Kepala Subauditorat;Kepala Subauditorat;Pemeriksaan atas obyek-obyek pemeriksaan yang dilimpahkan oleh AKN;2.000
7;Kepala Subauditorat;Kepala Subauditorat;Kepala Subauditorat;Pengelolaan dan pemantauan database profil entitas pemeriksaan pada lingkup tugas Sub Auditorat;2.000
8;Kepala Subauditorat;Kepala Subauditorat;Kepala Subauditorat;Pemantauan penyelesaian kerugian daerah pada lingkup tugas Sub Auditorat;2.000
9;Kepala Sekretariat;Kepala Sekretariat;Kepala Sekretariat;Pelaksanaan kegiatan kesekretariatan BPK Perwakilan;2.000
10;Kepala Sekretariat;Kepala Sekretariat;Kepala Sekretariat;Pengurusan sumber daya manusia, keuangan, serta sarana dan prasarana dilingkungan BPK perwakilan;2.000
11;Kepala Sekretariat;Kepala Sekretariat;Kepala Sekretariat;Pemberian layanan di bidang hukum, hubungan masyarakat, teknologi informasi, administrasi umum, dan keprotokolan BPK Perwakilan;2.000
12;Kepala Sekretariat;Kepala Sekretariat;Kepala Sekretariat;Penyusunan laporan keuangan Perwakilan;2.000
13;Kepala Subagian SDM;Kepala Subagian SDM;Kepala Subagian SDM;pengurusan sumber daya manusia di lingkungan BPK Perwakilan;1.000
14;Kepala Subagian SDM;Kepala Subagian SDM;Kepala Subagian SDM;Pengelolaan administrasi kepegawaian;1.000
15;Kepala Subagian SDM;Kepala Subagian SDM;Kepala Subagian SDM;Manajemen pengetahun, kompetensi, dan keahlian pegawai;1.000
16;Kepala Subagian SDM;Kepala Subagian SDM;Kepala Subagian SDM;Koordinasi pelayanan kesehatan;1.000
17;Kepala Subbagian Hukum;Kepala Subbagian Hukum;Kepala Subbagian Hukum;pemberian layanan legislasi di bidang hukum;1.000
